ax_s,ay_s,az_s,gx_s,gy_s,gz_s,A_s,G_s
-0.25,-1.0312,-0.4219,-14.6484,11.7188,15.625,1.1419,24.4141
-0.2031,-0.8438,-0.4219,-23.4375,12.6953,21.4844,0.965,34.2354
-0.2031,-0.6875,-0.4219,-38.0859,14.6484,25.3906,0.8318,48.0604
-0.2031,-0.6094,-0.4844,-45.8984,18.5547,26.3672,0.8045,56.0907
-0.2344,-0.5469,-0.5,-35.1562,17.5781,23.4375,0.7772,45.7632
-0.1875,-0.4375,-0.5625,-27.3438,15.625,23.4375,0.7369,39.2573
-0.2188,-0.25,-0.6875,-32.2266,16.6016,26.3672,0.7635,44.8262
-0.2812,-0.2656,-0.75,-43.9453,24.4141,22.4609,0.8439,55.0612
-0.3125,-0.3594,-0.6719,-55.6641,32.2266,18.5547,0.8235,66.9426
-0.2031,-0.4219,-0.5781,-66.4062,23.4375,14.6484,0.744,71.9283
-0.0625,-0.2812,-0.5156,-76.1719,16.6016,15.625,0.5907,79.5104
0.0,-0.0469,-0.4375,-69.3359,10.7422,19.5312,0.44,72.8309
0.0312,0.0625,-0.625,-66.4062,10.7422,18.5547,0.6289,69.7815
0.0938,-0.0312,-0.4844,-78.125,5.8594,11.7188,0.4944,79.216
0.1719,0.0,-0.0312,-93.75,-5.8594,10.7422,0.1747,94.5452
0.1875,0.2812,0.1406,-82.0312,-18.5547,11.7188,0.3661,84.916
0.1719,0.75,0.2188,-34.1797,-36.1328,14.6484,0.7999,51.8499
-0.1406,1.0,0.2812,20.5078,-25.3906,57.6172,1.0483,66.2193
-0.1094,1.9844,-0.0469,-23.4375,21.4844,57.6172,1.9879,65.8076
0.0625,1.9844,-0.5781,-74.2188,-12.6953,39.0625,2.0678,84.8261
0.0781,1.9844,-0.2188,-116.2109,-10.7422,29.2969,1.9979,120.3274
0.0,0.2969,-0.3438,124.0234,-22.4609,42.9688,0.4542,133.1639
0.6562,1.4219,0.3594,-97.6562,0.0,26.3672,1.6067,101.1532
0.1875,1.4062,0.6094,-115.2344,12.6953,13.6719,1.544,116.735
0.3906,1.1719,1.3125,-85.9375,6.8359,13.6719,1.8024,87.2863
0.375,1.1875,1.0156,-42.9688,-3.9062,14.6484,1.6069,45.5648
0.4062,0.9844,0.8594,-37.1094,-6.8359,13.6719,1.3684,40.1342
0.4531,0.8906,0.7969,-33.2031,-2.9297,12.6953,1.2781,35.6679
0.4062,0.8125,0.8281,-31.25,-1.9531,10.7422,1.2292,33.1024
0.3438,0.7969,0.8594,-29.2969,-0.9766,9.7656,1.2214,30.8971
0.2656,0.6719,0.7969,-22.4609,-5.8594,10.7422,1.0756,25.5777
0.2344,0.5625,0.5781,-19.5312,-9.7656,12.6953,0.84,25.2588
0.1562,0.5,0.4219,-22.4609,-8.7891,14.6484,0.6726,28.2191
0.1406,0.3438,0.375,-29.2969,-4.8828,16.6016,0.5278,34.0259
0.2344,0.3438,0.5781,-30.2734,-5.8594,15.625,0.7123,34.5681
0.3438,0.3906,0.7344,-32.2266,-8.7891,16.6016,0.9,37.3016
0.4375,0.4062,0.8438,-40.0391,-8.7891,17.5781,1.0336,44.6023
0.4844,0.3281,0.9844,-46.875,-6.8359,17.5781,1.1451,50.5271
0.5469,0.2656,1.1562,-46.875,-6.8359,16.6016,1.3063,50.1957
0.6094,0.2188,1.1406,-47.8516,-8.7891,15.625,1.3116,51.0995
0.6562,0.0469,1.0625,-53.7109,-6.8359,14.6484,1.2497,56.0907
0.7344,-0.0781,1.1406,-52.7344,-6.8359,11.7188,1.3588,54.4516
0.8438,-0.1719,1.125,-40.0391,-8.7891,7.8125,1.4167,41.7302
0.8438,-0.2656,1.2969,-29.2969,-6.8359,5.8594,1.5698,30.6491
