ax_s,ay_s,az_s,gx_s,gy_s,gz_s,A_s,G_s
-0.2656,0.3594,-0.1406,-56.6406,1.9531,-40.0391,0.4685,69.3909
-0.125,0.75,0.625,-93.75,-4.8828,-37.1094,0.9843,100.9456
-0.4062,0.4844,0.9844,-76.1719,-3.9062,-34.1797,1.1699,83.5803
-0.7188,0.3906,1.0156,-37.1094,7.8125,-24.4141,1.3041,45.102
-0.5625,0.4688,0.9844,-18.5547,7.8125,-14.6484,1.2268,24.8976
-0.5,0.4844,0.9688,-13.6719,1.9531,-10.7422,1.1929,17.4966
-0.4219,0.4688,1.0469,-22.4609,1.9531,-9.7656,1.2222,24.5698
-0.4062,0.4375,0.9844,-20.5078,5.8594,-9.7656,1.1513,23.4578
-0.4688,0.3594,1.0312,-20.5078,1.9531,-8.7891,1.1884,22.3972
-0.3906,0.4375,0.8281,-19.5312,0.0,-6.8359,1.0148,20.693
-0.4531,0.2031,0.9062,-23.4375,-0.9766,-8.7891,1.0334,25.0503
-0.4531,0.1094,1.125,-20.5078,-3.9062,-6.8359,1.2177,21.9672
-0.4531,0.1562,1.0938,-19.5312,-2.9297,-4.8828,1.1942,20.3444
-0.3906,0.0938,1.0781,-19.5312,-2.9297,-4.8828,1.1505,20.3444
-0.5312,0.1562,1.1094,-18.5547,-3.9062,-4.8828,1.2399,19.58
-0.5312,0.2188,1.1094,-14.6484,-3.9062,-3.9062,1.2493,15.6555
-0.5156,0.1875,1.0625,-14.6484,-0.9766,-2.9297,1.1958,14.9704
-0.5312,0.1406,1.1406,-17.5781,0.0,-4.8828,1.2661,18.2437
-0.5156,0.0469,1.0625,-23.4375,2.9297,-6.8359,1.1819,24.5892
-0.4688,-0.0156,0.9688,-27.3438,3.9062,-7.8125,1.0763,28.705
-0.5156,-0.0938,1.0156,-32.2266,2.9297,-8.7891,1.1429,33.5318
-0.5,-0.2031,0.9844,-39.0625,2.9297,-11.7188,1.1226,40.8875
-0.4531,-0.2969,1.0156,-41.0156,0.9766,-13.6719,1.1511,43.2453
-0.4219,-0.3281,1.0156,-40.0391,-1.9531,-14.6484,1.1477,42.6792
-0.4062,-0.2812,1.0781,-40.0391,-4.8828,-14.6484,1.186,42.9132
-0.4219,-0.3906,1.1094,-39.0625,-7.8125,-15.625,1.2495,42.7908
0.0469,-0.2031,-0.0938,-40.0391,-7.8125,-15.625,0.2286,43.6841
-0.4219,-0.5469,1.2188,-45.8984,-4.8828,-16.6016,1.4009,49.0522
-0.3281,-1.0312,1.1406,-57.6172,-6.8359,-16.6016,1.5723,60.3497
-0.4375,-0.0781,1.375,-47.8516,3.9062,-13.6719,1.445,49.9194
-0.2656,-0.7188,0.9375,-89.8438,1.9531,-27.3438,1.2108,93.9329
-0.4375,-0.5312,0.875,-101.5625,-8.7891,-25.3906,1.1132,105.0565
-0.2812,-0.625,0.5781,-124.0234,-0.9766,-53.7109,0.8966,135.1578
-0.0625,-0.9219,0.3594,-124.0234,-10.7422,-68.3594,0.9914,142.0219
0.1094,-1.1719,0.0,-124.0234,-6.8359,-58.5938,1.177,137.3382
0.2188,-0.8906,-0.9062,-89.8438,39.0625,-44.9219,1.2893,107.7764
-0.125,-0.3281,-0.5,-54.6875,-9.7656,-22.4609,0.611,59.9215
-0.375,0.1094,-0.8281,-43.9453,4.8828,-11.7188,0.9156,45.7423
-0.0156,0.3438,-1.1406,-31.25,12.6953,-8.7891,1.1914,34.8566
0.3125,0.25,-1.2656,-4.8828,2.9297,-14.6484,1.3274,15.7163
0.4219,0.1406,-1.0781,6.8359,3.9062,-9.7656,1.1662,12.5442
0.4062,0.1719,-0.8594,13.6719,5.8594,-3.9062,0.966,15.3789
0.4062,0.0781,-0.7031,19.5312,6.8359,2.9297,0.8158,20.8994
0.4688,-0.0625,-0.5,24.4141,10.7422,12.6953,0.6882,29.54
0.4219,-0.2656,-0.3438,27.3438,8.7891,16.6016,0.6056,33.1744
0.4062,-0.4219,-0.2656,24.4141,7.8125,12.6953,0.6431,28.6051
0.4219,-0.5312,-0.3125,20.5078,13.6719,11.7188,0.7469,27.2914
