ax_s,ay_s,az_s,gx_s,gy_s,gz_s
0.0625,-0.9688,-0.0938,-24.4141,34.1797,-0.9766
0.2031,-0.875,-0.1562,-25.3906,30.2734,-3.9062
0.5156,-0.8281,0.0156,-18.5547,17.5781,-6.8359
0.1875,-0.7344,0.25,-10.7422,0,-5.8594
-0.1094,-0.6719,0.2031,-11.7188,-2.9297,-0.9766
-0.1562,-0.6719,0.0781,-9.7656,1.9531,0
-0.1094,-0.6719,-0.0312,-4.8828,4.8828,0
0,-0.6719,-0.1094,0,8.7891,0.9766
0.0938,-0.6562,-0.0781,6.8359,11.7188,0.9766
0.1562,-0.6719,-0.0625,13.6719,9.7656,1.9531
0.1719,-0.7656,-0.0938,18.5547,6.8359,0.9766
0.375,-1.0469,-0.2969,15.625,6.8359,0
0.5781,-1.3125,-0.8438,5.8594,0,-1.9531
0.5625,-1.3906,-1.0156,-6.8359,5.8594,-8.7891
0.2344,-1.0938,-0.625,-2.9297,11.7188,-6.8359
0.0312,-0.9062,-0.3438,-3.9062,8.7891,-4.8828
0,-0.75,-0.0625,-3.9062,-2.9297,-1.9531
0,-1.2656,-0.1094,-6.8359,-4.8828,0
0.0938,-1.3906,-0.3438,-7.8125,-1.9531,1.9531
0.2031,-0.7344,-0.0469,0,1.9531,0
0.0156,-0.75,0.1406,5.8594,17.5781,-1.9531
-0.0781,-0.8906,0.1875,10.7422,16.6016,1.9531
0.0938,-1.0938,0.3438,9.7656,13.6719,6.8359
0.25,-0.9688,0.3438,7.8125,10.7422,8.7891
0.3594,-0.8594,0.2031,12.6953,4.8828,8.7891
0.4844,-0.8125,0.2344,12.6953,9.7656,4.8828
0.5156,-0.9375,0.2812,16.6016,7.8125,1.9531
0.3281,-1.0156,0.0625,17.5781,5.8594,0
0.125,-0.9844,-0.0156,13.6719,0.9766,-0.9766
0,-0.9531,0.0469,11.7188,1.9531,-0.9766
0.0625,-0.8594,0.1094,8.7891,5.8594,0.9766
0.1562,-0.8438,0.2188,8.7891,3.9062,2.9297
0.2656,-0.8906,0.1719,10.7422,6.8359,3.9062
0.125,-1.1719,-0.0781,-14.6484,-5.8594,-0.9766
0,-1.1406,-0.0469,-26.3672,-15.625,2.9297
0.0312,-1.1094,-0.0469,-43.9453,-13.6719,7.8125
0.1562,-1.125,0.375,-40.0391,-7.8125,0.9766
0.1094,-1.0312,-0.2031,-20.5078,23.4375,-5.8594
0.3438,-0.9375,-0.3125,-23.4375,15.625,-5.8594
0.5312,-0.9062,-0.0781,-15.625,1.9531,-9.7656
0.2344,-0.8438,0.2344,-11.7188,-6.8359,-8.7891
-0.0156,-0.8125,0.2344,-12.6953,-9.7656,-9.7656
-0.1406,-0.75,0.1094,-12.6953,-8.7891,-4.8828
-0.0781,-0.7031,0.0625,-7.8125,-0.9766,-4.8828
0.0625,-0.6875,0,-4.8828,-2.9297,-3.9062
0.1094,-0.625,-0.0156,0,-4.8828,-1.9531
0.125,-0.6406,-0.0781,2.9297,-7.8125,-1.9531
0.1406,-0.7344,-0.125,5.8594,-7.8125,0
0.2031,-0.8438,-0.2656,7.8125,-5.8594,0.9766
0.3594,-1.1094,-0.4844,1.9531,-7.8125,0
